"","surveys","variable","bvar_int_slp","wvar_int_slp","evar_int_slp","label"
"38","bhps","opfamn",0.819991343541245,0.073570218412268,0.106438438046487,"Bible Gods Word And True"
"39","bhps","opfamo",0.755785807771307,0.0573513142405894,0.186862877988104,"Co-Habiting Is Alright"
"40","bhps","opfamp",0.641053088346182,0.0781688515256457,0.280778060128172,"Parents Ought Stay Together For Children"
"41","bhps","opfamq",0.606557731243961,0.0728415328719829,0.320600735884056,"Marital Status Is Irrelevant To Children"
"42","bhps","opfamr",0.763490538292872,0.043221639728052,0.193287821979076,"Homosexual Relationships Are Wrong"
"43","bhps","ophla",0.537108503513039,0.0942372521217301,0.368654244365231,"All Health Care Should Be Free"
"44","bhps","ophlb",0.58650616128654,0.0763247197074787,0.337169119005981,"Compulsory Private Insurance If Can Pay"
"45","bhps","ophlc",0.51621752262869,0.108436635382124,0.375345841989187,"Unfair That Wealth Buys Medical Priority"
"46","bhps","opiss1",0.675699431634537,0.0486329435937565,0.275667624771707,"Rising Prices Are A Cause For Concern"
"47","bhps","opiss2",0.706394141951365,0.0336768958014414,0.259928962247194,"Ozone Layer Is A Cause For Concern"
"48","bhps","opiss3",0.623597209178674,0.0657505225178202,0.310652268303506,"Unemployment Is A Cause For Concern"
"49","bhps","opiss4",0.705252873602799,0.00411915138492791,0.290627975012273,"Threat To Nature Is A Cause For Concern"
"50","bhps","opiss5",0.69504691397751,0.0625414117900047,0.242411674232486,"Moral Standards Are A Cause For Concern"
"51","bhps","opnata",0.560734959236947,0.125119837078554,0.314145203684499,"Britain Has Much To Learn"
"52","bhps","opnatb",0.634158497001047,0.106584335538169,0.259257167460784,"British Citizenship Best"
"53","bhps","opnatc",0.545675307397772,0.0951690524770772,0.359155640125151,"Some Shameful Things About Britain"
"54","bhps","opnatd",0.51564992771649,0.165550957935047,0.318799114348463,"People Too Ready To Criticise Britain"
"55","bhps","opnate",0.598062707071337,0.12282897747559,0.279108315453073,"Britain Should Stay Single State"
"56","bhps","opnatf",0.616945414615985,0.0812423844027681,0.301812200981247,"Co-Operation Better Than Independence"
"57","bhps","opngbha",0.650376625447814,0.129590077617183,0.220033296935004,"Belong To Neighbourhood"
"58","bhps","opngbhb",0.656959260052127,0.163342650035834,0.179698089912039,"Local Friends Mean A Lot"
"59","bhps","opngbhc",0.628396700322491,0.112380539003177,0.259222760674331,"Advice Obtainable Locally"
"60","bhps","opngbhd",0.62623873133695,0.164560465933401,0.209200802729649,"Can Borrow Things From Neighbours"
"61","bhps","opngbhe",0.594631029929232,0.150279150864664,0.255089819206104,"Willing To Improve Neighbourhood"
"62","bhps","opngbhf",0.592476972432811,0.0662956509835657,0.341227376583624,"Plan To Stay In Neighbourhood"
"63","bhps","opngbhg",0.656767016553889,0.144832514171953,0.198400469274158,"Am Similar To Others In Neighbourhood"
"64","bhps","opngbhh",0.648132631758237,0.153677288241837,0.198190079999926,"Talk Regularly To Neighbours"
"65","bhps","oppola",0.476725237462403,0.111911346813389,0.411363415724208,"Government Reflects People's Wishes"
"66","bhps","oppolb",0.46676236304027,0.0943117002004799,0.43892593675925,"People Can't Influence Govt. Policy"
"67","bhps","oppolc",0.601435430794291,0.0412258600585631,0.357338709147146,"Should Be Max. Limit On Income"
"68","bhps","oppold",0.470556543542924,0.103721456577497,0.425721999879579,"Govt. Puts Nation's Interests First"
"69","bhps","oprlg3",0.761898007318584,0.0649290692579477,0.173172923423468,"Religion Makes Difference To Life"
"70","bhps","opsoca",0.54133420079448,0.0799976554982869,0.378668143707234,"Ordinary People Share Nations Wealth"
"71","bhps","opsocb",0.582876002037154,0.073692039110788,0.343431958852058,"One Law For Rich And One For Poor"
"72","bhps","opsocc",0.579511729723869,0.0555895240497066,0.364898746226424,"Private Enterprise Solves Economic Probs"
"73","bhps","opsocd",0.529760891062638,0.0733566563322908,0.396882452605072,"Public Services Ought To Be State Owned"
"74","bhps","opsoce",0.641144741718203,0.0688910225077449,0.289964235774052,"Govt. Has Obligation To Provide Jobs"
"75","bhps","opsocf",0.65193598388147,0.0639148432763302,0.2841491728422,"Strong Trade Unions Protect Employees"
"76","bhps","trust",0.608253864795985,0.0792548612378591,0.312491273966156,"Trustworthiness Of Others"
"77","bhps","vote1",0.536014943387385,0.0624879457389739,0.401497110873641,"Supports A Particular Political Party"
"78","bhps","vote2",0.435442981356153,0.0688433846338998,0.495713634009947,"Closer To One Political Party Than Other"
"79","bhps","vote4_1",0.875470741673053,0.0428727515808554,0.0816565067460918,"Party Affinity: Conservative"
"80","bhps","vote4_2",0.847871297760235,0.0433909432809587,0.108737758958807,"Party Affinity: Labour"
"81","bhps","vote4_3",0.722493557616849,0.065582778293903,0.211923664089248,"Party Affinity: Liberal Democrat/Lib/Sdp"
"82","bhps","vote5",0.535180546505242,0.0578352151846907,0.406984238310067,"Strength Of Support For Stated Party"
"83","bhps","vote6",0.702995941107292,0.0438240802288058,0.253179978663902,"Level Of Interest In Politics"
"84","gss","abany",0.759787042304165,0.0224181705709384,0.217794787124896,"Abortion: Any Reason"
"85","gss","abdefect",0.748464512825825,0.0791034814030113,0.172432005771163,"Abortion: Birth Defect"
"86","gss","abhlth",0.721111022517508,0.122147164685658,0.156741812796833,"Abortion: Mother's Health"
"87","gss","abnomore",0.761306804092392,0.0801981411395638,0.158495054768044,"Abortion: Birth Control"
"88","gss","abpoor",0.767809343126973,0.079251421351621,0.152939235521406,"Abortion: Too Poor"
"89","gss","abrape",0.766682452165685,0.106381641796479,0.126935906037836,"Abortion: Rape"
"90","gss","abscale6",0.836346342933575,0.0690767202452063,0.0945769368212183,"Abortion Scale (6 Items)"
"91","gss","abscale7",0.839550486357376,0.0636156139573199,0.096833899685304,"Abortion Scale (7 Items)"
"92","gss","absingle",0.770641826980298,0.0377821910033822,0.19157598201632,"Abortion: Unmarried"
"93","gss","affrmact",0.682443145357886,0.0943062335604098,0.223250621081704,"Hiring Preferences"
"94","gss","aged",0.598004540484347,0.00338698288537442,0.398608476630279,"Seniors Should Live With Family"
"95","gss","athscale",0.736499101559227,0.0013155944774228,0.262185303963351,"Athiest: Scale"
"96","gss","attend",0.851091488471911,0.0769775454829504,0.0719309660451389,"Attend Religious Services"
"97","gss","bible",0.797514617083277,0.087260220353542,0.115225162563181,"View Of Bible"
"98","gss","cappun",0.761917846338081,0.105613418002916,0.132468735659003,"Death Penalty"
"99","gss","chldidel",0.710589652393579,0.120775319767135,0.168635027839286,"Ideal # Of Children"
"100","gss","class",0.727187816977891,0.0725221504168417,0.200290032605267,"Social Class"
"101","gss","closeblk",0.711094172006002,0.0868096572443367,0.202096170749662,"Feel Close To Blacks"
"102","gss","closewht",0.614943439808778,0.0255586965964704,0.359497863594751,"Feel Close To Whites"
"103","gss","colath",0.641611681427195,0.000777262179607274,0.357611056393198,"Athiest: Teach At College"
"104","gss","colcom",0.625131151925292,0.0600400342010045,0.314828813873703,"Red: Teach At College"
"105","gss","colhomo",0.673297304771928,0.00235092176571361,0.324351773462358,"Gay: Teach At College"
"106","gss","colmil",0.61410096513568,0.0160702079094199,0.3698288269549,"Militarist: Teach At College"
"107","gss","colmslm",0.703322719685873,0.00144525550124197,0.295232024812885,"Islamist: Teach At College"
"108","gss","colrac",0.598556795665769,0.00265684411595124,0.39878636021828,"Racist: Teach At College"
"109","gss","comscale",0.756191120249071,0.0198872144763413,0.223921665274587,"Red: Scale"
"110","gss","conarmy",0.628054933354941,0.0832673479268178,0.288677718718241,"Military"
"111","gss","conbus",0.598797387826693,0.0743033532802542,0.326899258893053,"Major Companies"
"112","gss","conclerg",0.656644423220023,0.0338272303450423,0.309528346434935,"Organized Religion"
"113","gss","coneduc",0.60262802754913,0.0146271915365905,0.38274478091428,"Education"
"114","gss","confed",0.555559856173464,0.173971276347898,0.270468867478638,"Executive Branch"
"115","gss","confinan",0.558514031241996,0.0604521217860535,0.381033846971951,"Banks & Finance"
"116","gss","conjudge",0.625028216190494,0.0626603973334658,0.31231138647604,"Supreme Court"
"117","gss","conlabor",0.620756024380885,0.100726337329983,0.278517638289132,"Organized Labor"
"118","gss","conlegis",0.611671420985972,0.0136076278921067,0.374720951121922,"Congress"
"119","gss","conmedia",0.656194358941424,0.130366179922053,0.213439461136523,"Tv & Press"
"120","gss","conmedic",0.593819383234602,0.0883823424340654,0.317798274331333,"Medicine"
"121","gss","conpress",0.618934875207279,0.121246875342282,0.259818249450439,"Press"
"122","gss","consci",0.613252068855901,0.0247282131737351,0.362019717970364,"Scientific Community"
"123","gss","contv",0.594694456748161,0.133695438838663,0.271610104413176,"Television"
"124","gss","courts",0.645530519939438,0.038684338289478,0.315785141771084,"Courts Deal With Criminals"
"125","gss","discaff",0.563985117969194,0.000957595511864029,0.435057286518942,"Affirm. Action Hurt Whites"
"126","gss","discaffm",0.545279621982065,0.0561568923533526,0.398563485664582,"Affirm. Action Hurt Men"
"127","gss","discaffw",0.562395120464033,0.020389060346131,0.417215819189836,"Affirm. Action Hurt Women"
"128","gss","divlaw",0.705551977423332,0.00143997005809104,0.293008052518577,"Divorce Laws Too Lenient"
"129","gss","eqwlth",0.680138849808579,0.0360210043851333,0.283840145806287,"Government Reduce Inequality"
"130","gss","fair",0.677263762954176,0.0267884531218917,0.295947783923933,"People Try To Be Fair"
"131","gss","fear",0.66424382873902,0.0400992026278221,0.295656968633158,"Afraid To Walk At Night"
"132","gss","fechld",0.64878744841424,0.0963077949887339,0.254904756597027,"Working Moms Warm"
"133","gss","fefam",0.689648387417544,0.0136521866275768,0.296699425954879,"Better For Man To Work"
"134","gss","fehire",0.623251531913962,0.000503453478484683,0.376245014607554,"Hire & Promote Women"
"135","gss","fejobaff",0.687445518564634,0.128590791007405,0.183963690427962,"Preferences For Hiring Women"
"136","gss","fepol",0.64145516427235,0.00168545593082081,0.35685937979683,"Men Better For Politics"
"137","gss","fepresch",0.656368526138194,0.0144019924524064,0.3292294814094,"Pre-Ks Suffer If Mom Works"
"138","gss","finalter",0.5424083613864,0.13827499095599,0.319316647657611,"Finances Better Or Worse"
"139","gss","finrela",0.697076786549673,0.0792144039336111,0.223708809516715,"Relative Income"
"140","gss","fund",0.841385324799098,0.0733293431632409,0.0852853320376615,"Fundamentalist"
"141","gss","genderscale",0.756893144056493,0.0248114715929716,0.218295384350535,"Scale Of Gender Role Attitudes"
"142","gss","getahead",0.558272815585755,0.130290562448935,0.31143662196531,"Work To Get Ahead"
"143","gss","god",0.821130899328805,0.0425930965779336,0.136276004093261,"Belief About God"
"144","gss","goodlife",0.59672679293866,0.0315566010831277,0.371716605978212,"Finances Will Improve"
"145","gss","grass",0.775985692511328,0.0271838702737355,0.196830437214936,"Legalize Marijuana"
"146","gss","gunlaw",0.632916256560356,0.00160842046703569,0.365475322972608,"Require Gun Permits"
"147","gss","hapmar",0.69829762762366,0.0573575611807451,0.244344811195595,"Happiness: Marriage"
"148","gss","happy",0.620484159940957,0.146657183516837,0.232858656542206,"Happiness: General"
"149","gss","health",0.749713493153301,0.0816299823467503,0.168656524499949,"Health: Self-Rated"
"150","gss","helpblk",0.702731927709272,0.0286917934361908,0.268576278854538,"Government Help Blacks"
"151","gss","helpful",0.647985950893037,0.00795494168988042,0.344059107417082,"People Try To Be Helpful"
"152","gss","helpnot",0.623353687455562,0.00276877543915777,0.37387753710528,"Government Do More Or Less"
"153","gss","helpoth",0.591571299688372,0.0677186972644552,0.340710003047173,"Child Should Help Others"
"154","gss","helppoor",0.649351645508585,0.00539117580530923,0.345257178686106,"Government Help Poor"
"155","gss","helpsick",0.660753950911943,0.0141343066040202,0.325111742484037,"Government Pay Medical"
"156","gss","homoscale",0.740033637375511,0.00125683515842556,0.258709527466064,"Gay: Scale"
"157","gss","homosex",0.830838708138766,0.0361249006924592,0.133036391168775,"Morality: Same-Sex Sex"
"158","gss","intlblks",0.483245056402392,0.14354115005038,0.373213793547228,"Blacks Intelligent Or Not"
"159","gss","intlwhts",0.489413465108536,0.00727132413769743,0.503315210753767,"Whites Intelligent Or Not"
"160","gss","jobfind",0.64624233361311,0.120834788628995,0.232922877757896,"Find A Good Job"
"161","gss","joblose",0.561514285739537,0.00300046224122241,0.43548525201924,"Likely To Lose Job"
"162","gss","kidssol",0.685534051335852,0.0321784193290456,0.282287529335102,"Mobility Next Generation"
"163","gss","letdie1",0.719608240205728,0.115075278721866,0.165316481072405,"Let Die: Incurable"
"164","gss","letin1a",0.695166532069333,0.0148662814172921,0.289967186513375,"How Many Immigrants?"
"165","gss","libath",0.611915885567138,0.00116305625122481,0.386921058181637,"Athiest: Library Book"
"166","gss","libcom",0.650712330574682,0.0353233967457575,0.31396427267956,"Red: Library Book"
"167","gss","libhomo",0.648864647762382,0.000613841200169718,0.350521511037449,"Gay: Library Book"
"168","gss","libmil",0.60439473432829,0.0141089096577133,0.381496356013997,"Militarist: Library Book"
"169","gss","libmslm",0.677266922196865,0.00247628296906877,0.320256794834066,"Islamist: Library Book"
"170","gss","librac",0.594589087247072,0.00108811340272696,0.404322799350202,"Racist: Library Book"
"171","gss","life",0.669339878665995,0.0304326394423,0.300227481891705,"Life: Exciting Or Dull"
"172","gss","liveblks",0.584372272788174,0.143878872288611,0.271748854923215,"Neighborhood Half Black"
"173","gss","livewhts",0.487952314585267,0.0734534617735902,0.438594223641142,"Neighborhood Half White"
"174","gss","marblk",0.690669344519117,0.0433644864497855,0.265966169031098,"Relative Marry Black"
"175","gss","marhomo",0.820047831598908,0.0397910556196027,0.140161112781489,"Gay Marriage"
"176","gss","marwht",0.549368078226366,0.00118032566252002,0.449451596111114,"Relative Marry White"
"177","gss","meovrwrk",0.582921978030385,0.0159749954174878,0.401103026552128,"Men Hurt Family When Overwork"
"178","gss","milscale",0.692579498285412,0.0216784985993663,0.285742003115221,"Militarist: Scale"
"179","gss","misanthropy",0.771463752342689,0.0616175460954916,0.166918701561819,"Misanthropy Scale"
"180","gss","mslmscale",0.769015178950737,0.00280279265840067,0.228182028390863,"Islamist: Scale"
"181","gss","nataid",0.651285823606101,0.0485037756115702,0.300210400782329,"Foreign Aid"
"182","gss","natarms",0.66669638007858,0.0580921693325904,0.275211450588829,"Defense"
"183","gss","natchld",0.626740884669008,0.0357828264993644,0.337476288831628,"Child Care"
"184","gss","natcity",0.628137399077592,0.0305602451627399,0.341302355759668,"Problems Of Cities"
"185","gss","natcrime",0.62078027040758,0.0844085163732722,0.294811213219148,"Fighting Crime"
"186","gss","natdrug",0.598097289644338,0.0778740238164911,0.324028686539171,"Dealing With Drugs"
"187","gss","nateduc",0.66283478030724,0.129216556313529,0.207948663379231,"Education"
"188","gss","natenvir",0.669200260655759,0.00820096832169093,0.32259877102255,"Protect Environment"
"189","gss","natfare",0.746402009156852,0.0641328524920921,0.189465138351056,"Welfare"
"190","gss","natheal",0.574994522672872,0.0134229934856119,0.411582483841516,"Improving Health"
"191","gss","natmass",0.620269905532394,0.0309642816878537,0.348765812779752,"Mass Transit"
"192","gss","natpark",0.584812148692111,0.139606200472992,0.275581650834897,"Parks & Recreation"
"193","gss","natrace",0.716884369506117,0.108062416537942,0.17505321395594,"Improve Life For Blacks"
"194","gss","natroad",0.60873924808177,0.00587707792472003,0.38538367399351,"Highways & Bridges"
"195","gss","natsci",0.599076440684075,0.0832230238448353,0.31770053547109,"Scientific Research"
"196","gss","natsoc",0.633575200397269,0.00336970094845379,0.363055098654277,"Social Security"
"197","gss","natspac",0.700671396568156,0.0742693837347044,0.22505921969714,"Space Exploration"
"198","gss","neverrelact",0.646788691439245,0.0880457210935901,0.265165587467165,"Never Active In Religion"
"199","gss","news",0.771026101797777,0.0643920958082805,0.164581802393943,"Read Newspaper"
"200","gss","obey",0.715836338322843,0.0664712852908735,0.217692376386284,"Child Should Obey"
"201","gss","owngun",0.862584550127161,0.0766995070670361,0.0607159428058029,"Gun Owner"
"202","gss","parsol",0.705221044231863,0.0103580966974507,0.284420859070687,"Mobility"
"203","gss","partyid",0.882359473705433,0.0634432182725818,0.0541973080219847,"Political Party"
"204","gss","pillok",0.697077788425548,0.0744904976502435,0.228431713924208,"Birth Control 14-16 Year Olds"
"205","gss","polabuse",0.496121945739089,0.000962634605795431,0.502915419655116,"Police Hit Person Cursing"
"206","gss","polattak",0.536371003893855,0.000406373564831863,0.463222622541314,"Police Hit Person Punching"
"207","gss","polescap",0.594846066608822,0.109931063965346,0.295222869425832,"Police Hit Person Fleeing"
"208","gss","polhitok",0.705196243185323,0.0016652672188936,0.293138489595784,"Police Can Hit Citizens"
"209","gss","polmurdr",0.531478807930855,0.000784616393008641,0.467736575676136,"Police Hit Murder Suspect"
"210","gss","polviews",0.748969919406739,0.0686140584293355,0.182416022163926,"Political Views"
"211","gss","polviolent",0.617193117516441,0.00512570780328314,0.377681174680276,"Police Hit: Scale"
"212","gss","popespks",0.695118179297199,0.119624108147796,0.185257712555005,"Pope Infallible"
"213","gss","popular",0.551599707251575,0.166159181723427,0.282241111024998,"Child Should Be Popular"
"214","gss","pornlaw",0.6577092086015,0.0244872417387833,0.317803549659717,"Restrict Pornography"
"215","gss","postlife",0.780924947635525,0.0725609995735504,0.146514052790924,"Life After Death"
"216","gss","pray",0.857808500774142,0.072745154492284,0.0694463447335739,"Pray"
"217","gss","prayer",0.6809252700525,0.103456474469387,0.215618255478114,"Bible Prayer In Schools"
"218","gss","premarsx",0.789686560149172,0.0607513874268467,0.149562052423982,"Morality: Premarital Sex"
"219","gss","racdif1",0.651985986034052,0.0681575783715039,0.279856435594445,"Racial Diff.: Discrimination"
"220","gss","racdif2",0.56771269967548,0.000686232361116201,0.431601067963404,"Racial Diff.: Inborn"
"221","gss","racdif3",0.641155031314351,0.054455622517322,0.304389346168327,"Racial Diff.: Lack Education"
"222","gss","racdif4",0.641688533343333,0.0426016605386695,0.315709806117998,"Racial Diff.: Lack Will"
"223","gss","racopen",0.605389358740404,0.0913372921223108,0.303273349137285,"Open Housing Law"
"224","gss","racscale",0.686010174265078,0.00602411626418209,0.30796570947074,"Racist: Scale"
"225","gss","reborn",0.809161906597267,0.0567422792392105,0.134095814163523,"Born Again"
"226","gss","relactiv",0.762657990446288,0.110153026160841,0.127188983392871,"Do Religious Activities"
"227","gss","relexp",0.761895986905013,0.12000524184241,0.118098771252577,"Had Religious Experience"
"228","gss","relexper",0.735880845249331,0.0234023629515497,0.24071679179912,"Religious Turning Point"
"229","gss","reliten",0.798020553541994,0.089372703430872,0.112606743027134,"Strength Of Affiliation"
"230","gss","relpersn",0.812101850873312,0.0481767408598874,0.139721408266801,"Religious Person"
"231","gss","richwork",0.659166205316208,0.0778411021315216,0.262992692552271,"Would Work If Rich"
"232","gss","satfin",0.68346701262849,0.137748087116972,0.178784900254538,"Satisfied With Finances"
"233","gss","satjob",0.602115582777138,0.152436454501817,0.245447962721045,"Satisfied With Work"
"234","gss","selfhunt",0.804097934469547,0.0151036387717288,0.180798426758724,"Hunter: Self"
"235","gss","sexeduc",0.687001158368036,0.000153093444114183,0.31284574818785,"Sex-Ed. In Public Schools"
"236","gss","socbar",0.79822630924939,0.102087917571658,0.0996857731789528,"Meet Friends At Bar"
"237","gss","socfrend",0.651645763762243,0.063478302987527,0.284875933250231,"Meet Friends"
"238","gss","socialscale",0.742791622913718,0.0744102030784968,0.182798174007786,"Social Life Scale"
"239","gss","socommun",0.637447349965039,0.117549805922565,0.245002844112395,"Meet Neighbors"
"240","gss","socrel",0.669021234177562,0.0996748972007547,0.231303868621683,"Meet Relatives"
"241","gss","spanking",0.732251876637323,0.0564983998560781,0.211249723506599,"Spank Children"
"242","gss","spkath",0.655589588783453,0.0198647364638486,0.324545674752699,"Athiest: Make Speech"
"243","gss","spkcom",0.71225545496633,0.0100504416291792,0.277694103404491,"Red: Make Speech"
"244","gss","spkhomo",0.654780898769207,0.0487525516208416,0.296466549609951,"Gay: Make Speech"
"245","gss","spkmil",0.634645475947161,0.00185859532420041,0.363495928728638,"Militarist: Make Speech"
"246","gss","spkmslm",0.725061992926997,0.0131293876022135,0.261808619470789,"Islamist: Make Speech"
"247","gss","spkrac",0.633879947946913,0.039645740141351,0.326474311911736,"Racist: Make Speech"
"248","gss","sprtprsn",0.779451406291322,0.090056876375555,0.130491717333123,"Spiritual Person"
"249","gss","suicide1",0.727220121989234,0.00472697543596545,0.268052902574801,"Suicide: Incurable"
"250","gss","suicide2",0.652009705346617,0.0598922050001809,0.288098089653202,"Suicide: Bankruptcy"
"251","gss","suicide3",0.661315810560481,0.0231916882105749,0.315492501228944,"Suicide: Dishonor"
"252","gss","suicide4",0.678989824084583,0.0571486390773446,0.263861536838072,"Suicide: Tired Of Living"
"253","gss","suicidescale",0.748018210826874,0.0253471494151641,0.226634639757962,"Suicide Scale"
"254","gss","teensex",0.660776166876196,0.0802043705472412,0.259019462576563,"Morality: Sex 14-16 Year Olds"
"255","gss","thnkself",0.651283428350334,0.0748260329823347,0.273890538667331,"Child Should Think For Self"
"256","gss","trust",0.717241448885693,0.00355734709816946,0.279201204016138,"People Can Be Trusted"
"257","gss","tvhours",0.74528883773895,0.127619404150448,0.127091758110601,"Watch Television"
"258","gss","uswary",0.671538324254062,0.0280613114828463,0.300400364263092,"Us At War Next 10 Years"
"259","gss","wlthblks",0.521366836715742,0.00888361677698346,0.469749546507275,"Blacks Rich Or Poor"
"260","gss","wlthwhts",0.533805296372168,0.16197236036715,0.304222343260682,"Whites Rich Or Poor"
"261","gss","workblks",0.560180840195974,0.00172672539903618,0.43809243440499,"Blacks Work Hard"
"262","gss","workhard",0.574966318779428,0.0049915642321936,0.420042116988378,"Child Should Work Hard"
"263","gss","workwhts",0.54509061009814,0.164012985263061,0.290896404638799,"Whites Work Hard"
"264","gss","wrkwayup",0.69318809270176,0.0927947645368415,0.214017142761399,"No Racial Favors"
"265","gss","xmarsex",0.63665233763638,0.142557298895303,0.220790363468317,"Morality: Extramarital Affair"
"266","gss","xmovie",0.711095995671759,0.0570901710005139,0.231813833327727,"Watch X-Rated Movie"
"267","hilda","atwkadc",0.584952081240595,0.0854863660078738,0.329561552751531,"Fine For Child Under 3 To Be In All-Day Care"
"268","hilda","atwkbmw",0.694200753594645,0.0544016734426049,0.25139757296275,"Better If Man Earns Money, Woman Cares For Children"
"269","hilda","atwkcdw",0.582913211622467,0.0891495191699429,0.32793726920759,"As Well For Child If Mother Earns Money, Father Cares For Children"
"270","hilda","atwkcs",0.588061946466643,0.0812384305058355,0.330699623027521,"Children Suffer Bc Father Works Too Much"
"271","hilda","atwkdcm",0.64247114326229,0.104179345822742,0.253349510914968,"Better For Child To Stay With Mother In Case Of Divorce"
"272","hilda","atwkfhi",0.553703509929357,0.114262058198411,0.332034431872232,"Father Should Be As Involved As Mother"
"273","hilda","atwkmmf",0.608361874490522,0.0530945555366585,0.338543569972819,"Bad For Relationship If Woman Earns More"
"274","hilda","atwkmpl",0.658887470210599,0.0121355814662584,0.328976948323143,"Men Make Better Political Leaders"
"275","hilda","atwkmrl",0.585775955484561,0.0757136437549186,0.33851040076052,"Most Important Role For Men To Be Father"
"276","hilda","atwkmsw",0.62114812928625,0.0534383880360031,0.325413482677747,"Mothers Who Don't Need Money Shouldn't Work"
"277","hilda","atwkpsc",0.625813606212346,0.0573498275088529,0.316836566278801,"Pre-School Child Suffers If Mother Works Ft"
"278","hilda","atwkseh",0.52701264060505,0.103224174249068,0.369763185145883,"If Both Partners Work They Should Share Domestic Tasks"
"279","hilda","atwkwfr",0.517361996318928,0.0711556667178565,0.411482336963216,"Working Father Can Have As Good Relationship To Child"
"280","hilda","atwkwfs",0.520542421032296,0.0889011193982726,0.390556459569432,"Working Fathers Care More About Success Than Needs Of Children"
"281","hilda","atwkwmr",0.575251856876175,0.0687752953903361,0.355972847733489,"Working Mother Can Have As Good Relationship To Child"
