surveys,variable,bvar_int_slp,wvar_int_slp,evar_int_slp,label
bhps,opfamq,0.606557731,0.072841533,0.320600736,Marital Status Is Irrelevant To Children
bhps,opfamr,0.763490538,0.04322164,0.193287822,Homosexual Relationships Are Wrong
bhps,ophla,0.537108504,0.094237252,0.368654244,All Health Care Should Be Free
bhps,ophlb,0.586506161,0.07632472,0.337169119,Compulsory Private Insurance If Can Pay
bhps,ophlc,0.516217523,0.108436635,0.375345842,Unfair That Wealth Buys Medical Priority
bhps,opiss1,0.675699432,0.048632944,0.275667625,Rising Prices Are A Cause For Concern
bhps,opiss2,0.706394142,0.033676896,0.259928962,Ozone Layer Is A Cause For Concern
bhps,opiss3,0.623597209,0.065750523,0.310652268,Unemployment Is A Cause For Concern
bhps,opiss4,0.705252874,0.004119151,0.290627975,Threat To Nature Is A Cause For Concern
bhps,opiss5,0.695046914,0.062541412,0.242411674,Moral Standards Are A Cause For Concern
bhps,opnata,0.560734959,0.125119837,0.314145204,Britain Has Much To Learn
bhps,opnatb,0.634158497,0.106584336,0.259257167,British Citizenship Best
bhps,opnatc,0.545675307,0.095169052,0.35915564,Some Shameful Things About Britain
bhps,opnatd,0.515649928,0.165550958,0.318799114,People Too Ready To Criticise Britain
bhps,opnate,0.598062707,0.122828977,0.279108315,Britain Should Stay Single State
bhps,opnatf,0.616945415,0.081242384,0.301812201,Co-Operation Better Than Independence
bhps,opngbha,0.650376625,0.129590078,0.220033297,Belong To Neighbourhood
bhps,opngbhb,0.65695926,0.16334265,0.17969809,Local Friends Mean A Lot
bhps,opngbhc,0.6283967,0.112380539,0.259222761,Advice Obtainable Locally
bhps,opngbhd,0.626238731,0.164560466,0.209200803,Can Borrow Things From Neighbours
bhps,opngbhe,0.59463103,0.150279151,0.255089819,Willing To Improve Neighbourhood
bhps,opngbhf,0.592476972,0.066295651,0.341227377,Plan To Stay In Neighbourhood
bhps,opngbhg,0.656767017,0.144832514,0.198400469,Am Similar To Others In Neighbourhood
bhps,opngbhh,0.648132632,0.153677288,0.19819008,Talk Regularly To Neighbours
bhps,oppola,0.476725237,0.111911347,0.411363416,Government Reflects People's Wishes
bhps,oppolb,0.466762363,0.0943117,0.438925937,People Can't Influence Govt. Policy
bhps,oppolc,0.601435431,0.04122586,0.357338709,Should Be Max. Limit On Income
bhps,oppold,0.470556544,0.103721457,0.425722,Govt. Puts Nation's Interests First
bhps,oprlg3,0.761898007,0.064929069,0.173172923,Religion Makes Difference To Life
bhps,opsoca,0.541334201,0.079997655,0.378668144,Ordinary People Share Nations Wealth
bhps,opsocb,0.582876002,0.073692039,0.343431959,One Law For Rich And One For Poor
bhps,opsocc,0.57951173,0.055589524,0.364898746,Private Enterprise Solves Economic Probs
bhps,opsocd,0.529760891,0.073356656,0.396882453,Public Services Ought To Be State Owned
bhps,opsoce,0.641144742,0.068891023,0.289964236,Govt. Has Obligation To Provide Jobs
bhps,opsocf,0.651935984,0.063914843,0.284149173,Strong Trade Unions Protect Employees
bhps,trust,0.608253865,0.079254861,0.312491274,Trustworthiness Of Others
bhps,vote1,0.536014943,0.062487946,0.401497111,Supports A Particular Political Party
bhps,vote2,0.435442981,0.068843385,0.495713634,Closer To One Political Party Than Other
bhps,vote4_1,0.875470742,0.042872752,0.081656507,Party Affinity: Conservative
bhps,vote4_2,0.847871298,0.043390943,0.108737759,Party Affinity: Labour
bhps,vote4_3,0.722493558,0.065582778,0.211923664,Party Affinity: Liberal Democrat/Lib/Sdp
bhps,vote5,0.535180547,0.057835215,0.406984238,Strength Of Support For Stated Party
bhps,vote6,0.702995941,0.04382408,0.253179979,Level Of Interest In Politics
gss,abany,0.759787042,0.022418171,0.217794787,Abortion: Any Reason
gss,abdefect,0.748464513,0.079103481,0.172432006,Abortion: Birth Defect
gss,abhlth,0.721111023,0.122147165,0.156741813,Abortion: Mother's Health
gss,abnomore,0.761306804,0.080198141,0.158495055,Abortion: Birth Control
gss,abpoor,0.767809343,0.079251421,0.152939236,Abortion: Too Poor
gss,abrape,0.766682452,0.106381642,0.126935906,Abortion: Rape
gss,abscale6,0.836346343,0.06907672,0.094576937,Abortion Scale (6 Items)
gss,abscale7,0.839550486,0.063615614,0.0968339,Abortion Scale (7 Items)
gss,absingle,0.770641827,0.037782191,0.191575982,Abortion: Unmarried
gss,affrmact,0.682443145,0.094306234,0.223250621,Hiring Preferences
gss,aged,0.59800454,0.003386983,0.398608477,Seniors Should Live With Family
gss,athscale,0.736499102,0.001315594,0.262185304,Athiest: Scale
gss,attend,0.851091488,0.076977545,0.071930966,Attend Religious Services
gss,bible,0.797514617,0.08726022,0.115225163,View Of Bible
gss,cappun,0.761917846,0.105613418,0.132468736,Death Penalty
gss,chldidel,0.710589652,0.12077532,0.168635028,Ideal # Of Children
gss,class,0.727187817,0.07252215,0.200290033,Social Class
gss,closeblk,0.711094172,0.086809657,0.202096171,Feel Close To Blacks
gss,closewht,0.61494344,0.025558697,0.359497864,Feel Close To Whites
gss,colath,0.641611681,0.000777262,0.357611056,Athiest: Teach At College
gss,colcom,0.625131152,0.060040034,0.314828814,Red: Teach At College
gss,colhomo,0.673297305,0.002350922,0.324351773,Gay: Teach At College
gss,colmil,0.614100965,0.016070208,0.369828827,Militarist: Teach At College
gss,colmslm,0.70332272,0.001445256,0.295232025,Islamist: Teach At College
gss,colrac,0.598556796,0.002656844,0.39878636,Racist: Teach At College
gss,comscale,0.75619112,0.019887214,0.223921665,Red: Scale
gss,conarmy,0.628054933,0.083267348,0.288677719,Military
gss,conbus,0.598797388,0.074303353,0.326899259,Major Companies
gss,conclerg,0.656644423,0.03382723,0.309528346,Organized Religion
gss,coneduc,0.602628028,0.014627192,0.382744781,Education
gss,confed,0.555559856,0.173971276,0.270468867,Executive Branch
gss,confinan,0.558514031,0.060452122,0.381033847,Banks & Finance
gss,conjudge,0.625028216,0.062660397,0.312311386,Supreme Court
gss,conlabor,0.620756024,0.100726337,0.278517638,Organized Labor
gss,conlegis,0.611671421,0.013607628,0.374720951,Congress
gss,conmedia,0.656194359,0.13036618,0.213439461,Tv & Press
gss,conmedic,0.593819383,0.088382342,0.317798274,Medicine
gss,conpress,0.618934875,0.121246875,0.259818249,Press
gss,consci,0.613252069,0.024728213,0.362019718,Scientific Community
gss,contv,0.594694457,0.133695439,0.271610104,Television
gss,courts,0.64553052,0.038684338,0.315785142,Courts Deal With Criminals
gss,discaff,0.563985118,0.000957596,0.435057287,Affirm. Action Hurt Whites
gss,discaffm,0.545279622,0.056156892,0.398563486,Affirm. Action Hurt Men
gss,discaffw,0.56239512,0.02038906,0.417215819,Affirm. Action Hurt Women
gss,divlaw,0.705551977,0.00143997,0.293008053,Divorce Laws Too Lenient
gss,eqwlth,0.68013885,0.036021004,0.283840146,Government Reduce Inequality
gss,fair,0.677263763,0.026788453,0.295947784,People Try To Be Fair
gss,fear,0.664243829,0.040099203,0.295656969,Afraid To Walk At Night
gss,fechld,0.648787448,0.096307795,0.254904757,Working Moms Warm
gss,fefam,0.689648387,0.013652187,0.296699426,Better For Man To Work
gss,fehire,0.623251532,0.000503453,0.376245015,Hire & Promote Women
gss,fejobaff,0.687445519,0.128590791,0.18396369,Preferences For Hiring Women
gss,fepol,0.641455164,0.001685456,0.35685938,Men Better For Politics
gss,fepresch,0.656368526,0.014401992,0.329229481,Pre-Ks Suffer If Mom Works
gss,finalter,0.542408361,0.138274991,0.319316648,Finances Better Or Worse
gss,finrela,0.697076787,0.079214404,0.22370881,Relative Income
gss,fund,0.841385325,0.073329343,0.085285332,Fundamentalist
gss,genderscale,0.756893144,0.024811472,0.218295384,Scale Of Gender Role Attitudes
gss,getahead,0.558272816,0.130290562,0.311436622,Work To Get Ahead
gss,god,0.821130899,0.042593097,0.136276004,Belief About God
gss,goodlife,0.596726793,0.031556601,0.371716606,Finances Will Improve
gss,grass,0.775985693,0.02718387,0.196830437,Legalize Marijuana
gss,gunlaw,0.632916257,0.00160842,0.365475323,Require Gun Permits
gss,hapmar,0.698297628,0.057357561,0.244344811,Happiness: Marriage
gss,happy,0.62048416,0.146657184,0.232858657,Happiness: General
gss,health,0.749713493,0.081629982,0.168656524,Health: Self-Rated
gss,helpblk,0.702731928,0.028691793,0.268576279,Government Help Blacks
gss,helpful,0.647985951,0.007954942,0.344059107,People Try To Be Helpful
gss,helpnot,0.623353687,0.002768775,0.373877537,Government Do More Or Less
gss,helpoth,0.5915713,0.067718697,0.340710003,Child Should Help Others
gss,helppoor,0.649351646,0.005391176,0.345257179,Government Help Poor
gss,helpsick,0.660753951,0.014134307,0.325111742,Government Pay Medical
gss,homoscale,0.740033637,0.001256835,0.258709527,Gay: Scale
gss,homosex,0.830838708,0.036124901,0.133036391,Morality: Same-Sex Sex
gss,intlblks,0.483245056,0.14354115,0.373213794,Blacks Intelligent Or Not
gss,intlwhts,0.489413465,0.007271324,0.503315211,Whites Intelligent Or Not
gss,jobfind,0.646242334,0.120834789,0.232922878,Find A Good Job
gss,joblose,0.561514286,0.003000462,0.435485252,Likely To Lose Job
gss,kidssol,0.685534051,0.032178419,0.282287529,Mobility Next Generation
gss,letdie1,0.71960824,0.115075279,0.165316481,Let Die: Incurable
gss,letin1a,0.695166532,0.014866281,0.289967187,How Many Immigrants?
gss,libath,0.611915886,0.001163056,0.386921058,Athiest: Library Book
gss,libcom,0.650712331,0.035323397,0.313964273,Red: Library Book
gss,libhomo,0.648864648,0.000613841,0.350521511,Gay: Library Book
gss,libmil,0.604394734,0.01410891,0.381496356,Militarist: Library Book
gss,libmslm,0.677266922,0.002476283,0.320256795,Islamist: Library Book
gss,librac,0.594589087,0.001088113,0.404322799,Racist: Library Book
gss,life,0.669339879,0.030432639,0.300227482,Life: Exciting Or Dull
gss,liveblks,0.584372273,0.143878872,0.271748855,Neighborhood Half Black
gss,livewhts,0.487952315,0.073453462,0.438594224,Neighborhood Half White
gss,marblk,0.690669345,0.043364486,0.265966169,Relative Marry Black
gss,marhomo,0.820047832,0.039791056,0.140161113,Gay Marriage
gss,marwht,0.549368078,0.001180326,0.449451596,Relative Marry White
gss,meovrwrk,0.582921978,0.015974995,0.401103027,Men Hurt Family When Overwork
gss,milscale,0.692579498,0.021678499,0.285742003,Militarist: Scale
gss,misanthropy,0.771463752,0.061617546,0.166918702,Misanthropy Scale
gss,mslmscale,0.769015179,0.002802793,0.228182028,Islamist: Scale
gss,nataid,0.651285824,0.048503776,0.300210401,Foreign Aid
gss,natarms,0.66669638,0.058092169,0.275211451,Defense
gss,natchld,0.626740885,0.035782826,0.337476289,Child Care
gss,natcity,0.628137399,0.030560245,0.341302356,Problems Of Cities
gss,natcrime,0.62078027,0.084408516,0.294811213,Fighting Crime
gss,natdrug,0.59809729,0.077874024,0.324028687,Dealing With Drugs
gss,nateduc,0.66283478,0.129216556,0.207948663,Education
gss,natenvir,0.669200261,0.008200968,0.322598771,Protect Environment
gss,natfare,0.746402009,0.064132852,0.189465138,Welfare
gss,natheal,0.574994523,0.013422993,0.411582484,Improving Health
gss,natmass,0.620269906,0.030964282,0.348765813,Mass Transit
gss,natpark,0.584812149,0.1396062,0.275581651,Parks & Recreation
gss,natrace,0.71688437,0.108062417,0.175053214,Improve Life For Blacks
gss,natroad,0.608739248,0.005877078,0.385383674,Highways & Bridges
gss,natsci,0.599076441,0.083223024,0.317700535,Scientific Research
gss,natsoc,0.6335752,0.003369701,0.363055099,Social Security
gss,natspac,0.700671397,0.074269384,0.22505922,Space Exploration
gss,neverrelact,0.646788691,0.088045721,0.265165587,Never Active In Religion
gss,news,0.771026102,0.064392096,0.164581802,Read Newspaper
gss,obey,0.715836338,0.066471285,0.217692376,Child Should Obey
gss,owngun,0.86258455,0.076699507,0.060715943,Gun Owner
gss,parsol,0.705221044,0.010358097,0.284420859,Mobility
gss,partyid,0.882359474,0.063443218,0.054197308,Political Party
gss,pillok,0.697077788,0.074490498,0.228431714,Birth Control 14-16 Year Olds
gss,polabuse,0.496121946,0.000962635,0.50291542,Police Hit Person Cursing
gss,polattak,0.536371004,0.000406374,0.463222623,Police Hit Person Punching
gss,polescap,0.594846067,0.109931064,0.295222869,Police Hit Person Fleeing
gss,polhitok,0.705196243,0.001665267,0.29313849,Police Can Hit Citizens
gss,polmurdr,0.531478808,0.000784616,0.467736576,Police Hit Murder Suspect
gss,polviews,0.748969919,0.068614058,0.182416022,Political Views
gss,polviolent,0.617193118,0.005125708,0.377681175,Police Hit: Scale
gss,popespks,0.695118179,0.119624108,0.185257713,Pope Infallible
gss,popular,0.551599707,0.166159182,0.282241111,Child Should Be Popular
gss,pornlaw,0.657709209,0.024487242,0.31780355,Restrict Pornography
gss,postlife,0.780924948,0.072561,0.146514053,Life After Death
gss,pray,0.857808501,0.072745154,0.069446345,Pray
gss,prayer,0.68092527,0.103456474,0.215618255,Bible Prayer In Schools
gss,premarsx,0.78968656,0.060751387,0.149562052,Morality: Premarital Sex
gss,racdif1,0.651985986,0.068157578,0.279856436,Racial Diff.: Discrimination
gss,racdif2,0.5677127,0.000686232,0.431601068,Racial Diff.: Inborn
gss,racdif3,0.641155031,0.054455623,0.304389346,Racial Diff.: Lack Education
gss,racdif4,0.641688533,0.042601661,0.315709806,Racial Diff.: Lack Will
gss,racopen,0.605389359,0.091337292,0.303273349,Open Housing Law
gss,racscale,0.686010174,0.006024116,0.307965709,Racist: Scale
gss,reborn,0.809161907,0.056742279,0.134095814,Born Again
gss,relactiv,0.76265799,0.110153026,0.127188983,Do Religious Activities
gss,relexp,0.761895987,0.120005242,0.118098771,Had Religious Experience
gss,relexper,0.735880845,0.023402363,0.240716792,Religious Turning Point
gss,reliten,0.798020554,0.089372703,0.112606743,Strength Of Affiliation
gss,relpersn,0.812101851,0.048176741,0.139721408,Religious Person
gss,richwork,0.659166205,0.077841102,0.262992693,Would Work If Rich
gss,satfin,0.683467013,0.137748087,0.1787849,Satisfied With Finances
gss,satjob,0.602115583,0.152436455,0.245447963,Satisfied With Work
gss,selfhunt,0.804097934,0.015103639,0.180798427,Hunter: Self
gss,sexeduc,0.687001158,0.000153093,0.312845748,Sex-Ed. In Public Schools
gss,socbar,0.798226309,0.102087918,0.099685773,Meet Friends At Bar
gss,socfrend,0.651645764,0.063478303,0.284875933,Meet Friends
gss,socialscale,0.742791623,0.074410203,0.182798174,Social Life Scale
gss,socommun,0.63744735,0.117549806,0.245002844,Meet Neighbors
gss,socrel,0.669021234,0.099674897,0.231303869,Meet Relatives
gss,spanking,0.732251877,0.0564984,0.211249724,Spank Children
gss,spkath,0.655589589,0.019864736,0.324545675,Athiest: Make Speech
gss,spkcom,0.712255455,0.010050442,0.277694103,Red: Make Speech
gss,spkhomo,0.654780899,0.048752552,0.29646655,Gay: Make Speech
gss,spkmil,0.634645476,0.001858595,0.363495929,Militarist: Make Speech
gss,spkmslm,0.725061993,0.013129388,0.261808619,Islamist: Make Speech
gss,spkrac,0.633879948,0.03964574,0.326474312,Racist: Make Speech
gss,sprtprsn,0.779451406,0.090056876,0.130491717,Spiritual Person
gss,suicide1,0.727220122,0.004726975,0.268052903,Suicide: Incurable
gss,suicide2,0.652009705,0.059892205,0.28809809,Suicide: Bankruptcy
gss,suicide3,0.661315811,0.023191688,0.315492501,Suicide: Dishonor
gss,suicide4,0.678989824,0.057148639,0.263861537,Suicide: Tired Of Living
gss,suicidescale,0.748018211,0.025347149,0.22663464,Suicide Scale
gss,teensex,0.660776167,0.080204371,0.259019463,Morality: Sex 14-16 Year Olds
gss,thnkself,0.651283428,0.074826033,0.273890539,Child Should Think For Self
gss,trust,0.717241449,0.003557347,0.279201204,People Can Be Trusted
gss,tvhours,0.745288838,0.127619404,0.127091758,Watch Television
gss,uswary,0.671538324,0.028061311,0.300400364,Us At War Next 10 Years
gss,wlthblks,0.521366837,0.008883617,0.469749547,Blacks Rich Or Poor
gss,wlthwhts,0.533805296,0.16197236,0.304222343,Whites Rich Or Poor
gss,workblks,0.56018084,0.001726725,0.438092434,Blacks Work Hard
gss,workhard,0.574966319,0.004991564,0.420042117,Child Should Work Hard
gss,workwhts,0.54509061,0.164012985,0.290896405,Whites Work Hard
gss,wrkwayup,0.693188093,0.092794765,0.214017143,No Racial Favors
gss,xmarsex,0.636652338,0.142557299,0.220790363,Morality: Extramarital Affair
gss,xmovie,0.711095996,0.057090171,0.231813833,Watch X-Rated Movie
hilda,atwkadc,0.584952081,0.085486366,0.329561553,Fine For Child Under 3 To Be In All-Day Care
hilda,atwkbmw,0.694200754,0.054401673,0.251397573,"Better If Man Earns Money, Woman Cares For Children"
hilda,atwkcdw,0.582913212,0.089149519,0.327937269,"As Well For Child If Mother Earns Money, Father Cares For Children"
hilda,atwkcs,0.588061946,0.081238431,0.330699623,Children Suffer Bc Father Works Too Much
hilda,atwkdcm,0.642471143,0.104179346,0.253349511,Better For Child To Stay With Mother In Case Of Divorce
hilda,atwkfhi,0.55370351,0.114262058,0.332034432,Father Should Be As Involved As Mother
hilda,atwkmmf,0.608361874,0.053094556,0.33854357,Bad For Relationship If Woman Earns More
hilda,atwkmpl,0.65888747,0.012135581,0.328976948,Men Make Better Political Leaders
hilda,atwkmrl,0.585775955,0.075713644,0.338510401,Most Important Role For Men To Be Father
hilda,atwkmsw,0.621148129,0.053438388,0.325413483,Mothers Who Don't Need Money Shouldn't Work
hilda,atwkpsc,0.625813606,0.057349828,0.316836566,Pre-School Child Suffers If Mother Works Ft
hilda,atwkseh,0.527012641,0.103224174,0.369763185,If Both Partners Work They Should Share Domestic Tasks
hilda,atwkwfr,0.517361996,0.071155667,0.411482337,Working Father Can Have As Good Relationship To Child
hilda,atwkwfs,0.520542421,0.088901119,0.39055646,Working Fathers Care More About Success Than Needs Of Children
hilda,atwkwmr,0.575251857,0.068775295,0.355972848,Working Mother Can Have As Good Relationship To Child
hilda,atwkwms,0.559227218,0.097470746,0.343302036,Working Mothers Care More About Success Than Needs Of Children
hilda,atwkwrl,0.604925155,0.067520549,0.327554296,Most Important Role For Women To Be Mother
hilda,lskeep,0.548930911,0.038322023,0.412747066,Most People You Meet Keep Their Word
hilda,lssop,0.575041345,0.0844794,0.340479255,Most People You Meet Succeed By Stepping On Others
hilda,mcchmf,0.664374732,0.087148113,0.248477154,Children Happier With Both Father And Mother
hilda,mcdef,0.802661857,0.049800144,0.147538,Cohabitation Alright Even Without Marriage Intention
hilda,mcdiv,0.620510005,0.054495131,0.324994863,Divorce Alright Even With Children
hilda,mchscr,0.76085529,0.074618664,0.164526046,Same Rights For Homosexual Couples
hilda,mcindpc,0.625361738,0.11006,0.264578263,Child Should Start Living Independently By 18-20
hilda,mcmhc,0.658555954,0.141853281,0.199590765,A Man Has To Have Children In Order To Be Fulfilled
hilda,mcmoi,0.637708517,0.091374344,0.270917139,Marriage Is Outdated
hilda,mcnodiv,0.70309026,0.06508265,0.23182709,Marriage Should Never Be Ended
hilda,mcsingp,0.693146816,0.0483134,0.258539783,Alright For Woman To Have Children As Single Parent
hilda,mcwhc,0.669212679,0.123614006,0.207173316,A Woman Has To Have Children In Order To Be Fulfilled
hilda,relimp,0.874625043,0.045693942,0.079681015,Importance Of Religion
psid,cds_bothparentscare,0.545366135,0.036972163,0.417661702,Dad Should Be As Involved As Mom
psid,cds_daddevelopment,0.533440672,0.048968411,0.417590917,Dad Large Role In Child Development
psid,cds_dadoldkidbetter,0.593613632,0.106369711,0.300016657,Dad Able To Enjoy Older Children More
psid,cds_dadtooinvolved,0.55494465,0.133832717,0.311222633,Dad Too Involved If Keeps From Better Job
psid,cds_daycareok,0.629182078,0.121832296,0.248985625,Ok To Have Child Under 3 In All-Day Care
psid,cds_fatherhoodfulfill,0.573253392,0.001574474,0.425172134,Dadhood Most Fulfilling Experience
psid,cds_fatherinteractchild,0.561104538,0.003435731,0.435459731,Dads Should Interact With Child
psid,cds_firstyears,0.594087418,0.003772963,0.402139619,First 4 Years Most Import. In Child's Develop.
psid,cds_girlboyequal,0.588713344,0.029953171,0.381333485,Encourage As Much Independence In Daughters And Sons
psid,cds_husbandcareerimport,0.612194066,0.092306626,0.295499308,Better Wife Helps Husband Career
psid,cds_mostimportantchild_1,0.550440752,0.062047078,0.38751217,Importance For Child: Obey
psid,cds_mostimportantchild_3,0.571242934,0.000715663,0.428041403,Importance For Child: Think For Herself
psid,cds_motherfatherequal,0.559729568,0.132992706,0.307277726,Dad And Mom Equally Good Meeting Kid's Needs
psid,cds_motherhoodfulfill,0.587255448,0.000342512,0.41240204,Momhood Most Fulfilling Experience
psid,cds_mothernotft,0.66857624,0.095473134,0.235950627,Mom With Child Under 5 Shouldn't Work Full-Time
psid,cds_preschoolsuffer,0.650216019,0.093058237,0.256725744,Preschool Child Suffers If Mom Employed
psid,cds_sharehousehold,0.478537111,0.000991342,0.520471547,Husband And Wife In Both Ft Should Share Household
psid,cds_traditionalbest,0.657973667,0.072655435,0.269370898,Better If Man Earns Living
psid,cds_workingmotherssame,0.547924096,0.029502008,0.422573896,Working Mom As Warm As Nonworking Mom
psid,gettingbetter,0.503579506,0.112123398,0.384297097,Life Getting Better
psid,lifesatis,0.533082927,0.112719538,0.354197535,Life Satisfaction
psid,likejobormoney,0.462703593,0.094954028,0.442342378,Satisfaction About Income Important In Job
psid,opinionimport,0.561679411,0.116052763,0.322267826,How Much Does It Matter What Other People Think About You?
psid,satisfiedself,0.504894454,0.138553443,0.356552102,Are You More Often Satisfied Or Dissatisfied With Yourself?
psid,savingspending,0.493344937,0.124710466,0.381944596,Spend Or Save Money
psid,tas_belongcommunity,0.55539531,0.088323888,0.356280802,Freq. Of Feeling Belonging To Communty
psid,tas_contributesociety,0.530111115,0.089281301,0.380607584,Freq. Of Feeling Contrib To Society
psid,tas_divorcehurts,0.491839755,0.054159886,0.454000359,Divorce Hurts Kids
psid,tas_divorcesuccess,0.468080498,0.07948418,0.452435321,Child From Divorced Family Can Be Successful
psid,tas_fathertimeoff,0.518032506,0.125875324,0.35609217,Dads Should Take Time With Young Child
psid,tas_importrel,0.73453959,0.079423698,0.186036713,Importance Of Religion
psid,tas_importspirit,0.667808786,0.097068209,0.235123004,Importance Of Spirituality
psid,tas_lifesatisfact,0.609907863,0.140636427,0.24945571,How Satisfied With Life As A Whole
psid,tas_mothersnodemanding,0.548875459,0.110591312,0.340533228,Moms Should Have Demandng Job
psid,tas_peoplearegood,0.542892853,0.096495533,0.360611614,Freq. Of Feeling People Basically Good
psid,tas_religpref0509_2,0.758256049,0.034839935,0.206904016,Religion: Protestant [2005-09]
psid,tas_religpref0509_3,0.885832968,0.062001053,0.052165979,Religion: Catholic [2005-09]
psid,tas_religpref1115_2,0.831089262,0.101670256,0.067240483,Religion: Protestant [2011-15]
psid,tas_religpref1115_3,0.867066944,0.024205043,0.108728013,Religion: Catholic [2011-15]
psid,tas_singleparentsok,0.497364517,0.089906576,0.412728907,Child From Single-Parent Family Can Do As Well
psid,tas_singleparentsuffer,0.600556036,0.100414306,0.299029658,Single Parent Hurts Kids
psid,tas_singlewomenkids,0.505201766,0.071825599,0.422972635,Single Women Should Have Kids
psid,tas_societybetter,0.521341151,0.108646346,0.370012503,Freq. Of Feeling Society Gettng Better
psid,tas_societymakessense,0.529095019,0.086377064,0.384527917,Feeling Way Society Works Makes Sense
psid,tas_spritual,0.627454225,0.102365805,0.27017997,Spiritual Person
psid,thinkfuture,0.495573025,0.131905689,0.372521286,Think About Future
psid,trustothers,0.645045605,0.098075764,0.256878631,Trust Most Others
psid,undeserved,0.547406403,0.128355763,0.324237834,Are There A Lot Of People Who Have Good Things They Don't Deserve?
shp,pc70,0.564081454,0.031719302,0.404199244,Self-Perception : Incapacity To Make Plans Because Of Unpredictability
shp,pc71,0.545404309,0.103544633,0.351051058,Self-Perception : Little Influence On Life Events
shp,pc72,0.541936596,0.002286236,0.455777168,Self-Perception : Capacity To Overcome Unexpected Problems
shp,pc73,0.594705604,0.018027893,0.387266503,Self-Perception : Capacity To Choose Between Two Possibilities
shp,pc74,0.631368162,0.093754784,0.274877054,Self-Perception : Feeling Of Uselessness
shp,pc75,0.635013268,0.001281828,0.363704904,Self-Perception : Feeling Of Selfsatisfaction
shp,pl101,0.63270848,0.099650646,0.267640873,Feeling Of Security (Victimization)
shp,pn56,0.627340029,0.171589804,0.201070167,Values: Lying In Own Interest
shp,pn57,0.627159951,0.154203562,0.218636487,Values: Cheating On Tax Declaration
